instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland6,30,24442.0,EDD,3,76,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0883,0
airland6,30,24442.0,EDD,4,93,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0902,0
airland6,30,24442.0,EDD,5,110,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0836,0
airland6,30,24442.0,ERD,1,42,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0959,0
airland6,30,24442.0,ERD,2,59,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0962,0
airland6,30,24442.0,ERD,3,76,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0845,0
airland6,30,24442.0,ERD,4,93,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0925,0
airland6,30,24442.0,ERD,5,110,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0832,0
airland6,30,24442.0,MDD,1,42,inf,,inf,,,0.0,0.0,0.0882,240
airland6,30,24442.0,MDD,2,59,inf,,inf,,,0.0,0.0,0.0891,240
airland6,30,24442.0,MDD,3,76,inf,,inf,,,0.0,0.0,0.0888,240
airland6,30,24442.0,MDD,4,93,inf,,inf,,,0.0,0.0,0.0892,240
airland6,30,24442.0,MDD,5,110,inf,,inf,,,0.0,0.0,0.089,240
airland6,30,24442.0,MPDS,1,42,inf,,inf,,,0.0,0.0,0.1256,240
airland6,30,24442.0,MPDS,2,59,inf,,inf,,,0.0,0.0,0.1247,240
airland6,30,24442.0,MPDS,3,76,inf,,inf,,,0.0,0.0,0.1277,240
airland6,30,24442.0,MPDS,4,93,inf,,inf,,,0.0,0.0,0.1261,240
airland6,30,24442.0,MPDS,5,110,inf,,inf,,,0.0,0.0,0.1271,240
airland6,30,24442.0,ATC_k2,1,42,inf,,inf,,,0.0,0.0,0.0897,240
airland6,30,24442.0,ATC_k2,2,59,inf,,inf,,,0.0,0.0,0.0908,240
airland6,30,24442.0,ATC_k2,3,76,inf,,inf,,,0.0,0.0,0.0901,240
airland6,30,24442.0,ATC_k2,4,93,inf,,inf,,,0.0,0.0,0.0893,240
airland6,30,24442.0,ATC_k2,5,110,inf,,inf,,,0.0,0.0,0.0908,240
airland6,30,24442.0,ATC_k4,1,42,inf,,inf,,,0.0,0.0,0.1089,240
airland6,30,24442.0,ATC_k4,2,59,inf,,inf,,,0.0,0.0,0.1108,240
airland6,30,24442.0,ATC_k4,3,76,inf,,inf,,,0.0,0.0,0.1071,240
airland6,30,24442.0,ATC_k4,4,93,inf,,inf,,,0.0,0.0,0.107,240
airland6,30,24442.0,ATC_k4,5,110,inf,,inf,,,0.0,0.0,0.1083,240
airland7,44,1550.0,EDD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.4178,0
airland7,44,1550.0,EDD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5438,0
airland7,44,1550.0,EDD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.378,0
airland7,44,1550.0,EDD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5065,0
airland7,44,1550.0,EDD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5399,0
airland7,44,1550.0,ERD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.4204,0
airland7,44,1550.0,ERD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.55,0
airland7,44,1550.0,ERD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.3772,0
airland7,44,1550.0,ERD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5149,0
airland7,44,1550.0,ERD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5408,0
