instance,n,known_opt,combo_id,combo_label,coded_alpha,coded_Ni,coded_Imax,coded_Mstag,alpha,N_iter,I_max,M_stag,rep,seed,final_semi,final_feas,gap_pct,t_best_feas,wall_s
airland4,20,2520.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,2520.0,2520.0,0.0,0.0,6.2521
airland4,20,2520.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,2520.0,2520.0,0.0,0.0,14.6102
airland4,20,2520.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,2520.0,2520.0,0.0,0.0,14.6999
airland4,20,2520.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,2520.0,2520.0,0.0,0.0,6.7571
airland4,20,2520.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,2520.0,2520.0,0.0,0.0,6.7425
airland4,20,2520.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,2520.0,2520.0,0.0,0.0,37.8998
airland4,20,2520.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,2520.0,2520.0,0.0,0.0,25.7075
airland4,20,2520.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,2520.0,2520.0,0.0,0.0,31.4718
airland4,20,2520.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,2520.0,2520.0,0.0,0.0,23.2716
airland4,20,2520.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,2520.0,2520.0,0.0,0.0,48.4211
airland4,20,2520.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,2520.0,2520.0,0.0,0.0,52.1989
airland4,20,2520.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,2520.0,2520.0,0.0,0.0,23.8931
airland4,20,2520.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,2520.0,2520.0,0.0,0.0,20.2786
airland4,20,2520.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,2520.0,2520.0,0.0,0.0,59.9049
airland4,20,2520.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,2520.0,2520.0,0.0,0.0,59.9603
airland4,20,2520.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,2520.0,2520.0,0.0,0.0,40.8069
airland4,20,2520.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,2520.0,2520.0,0.0,0.0,42.961
airland5,20,3100.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,3100.0,3100.0,0.0,3.1612,7.8788
airland5,20,3100.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,3100.0,3100.0,0.0,3.1807,10.0732
airland5,20,3100.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,3100.0,3100.0,0.0,2.432,12.9432
airland5,20,3100.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,3100.0,3100.0,0.0,3.1806,14.7909
airland5,20,3100.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,3100.0,3100.0,0.0,2.8718,7.1725
airland5,20,3100.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,3100.0,3100.0,0.0,3.2044,10.0856
airland5,20,3100.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,3100.0,3100.0,0.0,3.3315,41.743
airland5,20,3100.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,3100.0,3100.0,0.0,1.9261,25.8847
airland5,20,3100.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,3100.0,3100.0,0.0,13.6414,45.1099
airland5,20,3100.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,3100.0,3100.0,0.0,13.8771,41.7674
airland5,20,3100.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,3100.0,3100.0,0.0,12.8663,56.6202
airland5,20,3100.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,3100.0,3100.0,0.0,13.5342,59.9253
airland5,20,3100.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,3100.0,3100.0,0.0,8.5262,30.4361
airland5,20,3100.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,3100.0,3100.0,0.0,12.4684,32.994
airland5,20,3100.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,1,42,3100.0,3100.0,0.0,12.8663,59.9022
airland5,20,3100.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,3100.0,3100.0,0.0,8.2955,59.9498
airland5,20,3100.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,3100.0,3100.0,0.0,3.6451,8.38
airland5,20,3100.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,3100.0,3100.0,0.0,4.1049,8.832
airland5,20,3100.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,3100.0,3100.0,0.0,3.2784,14.9731
airland5,20,3100.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,3100.0,3100.0,0.0,4.0427,14.9852
airland5,20,3100.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,3100.0,3100.0,0.0,3.8661,8.6244
airland5,20,3100.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,3100.0,3100.0,0.0,4.0801,8.8189
airland5,20,3100.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,3100.0,3100.0,0.0,3.1255,41.5971
airland5,20,3100.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,3100.0,3100.0,0.0,2.3245,26.3947
airland5,20,3100.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,3100.0,3100.0,0.0,14.5794,28.0024
airland5,20,3100.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,3100.0,3100.0,0.0,15.8272,28.9727
airland5,20,3100.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,3100.0,3100.0,0.0,16.4529,55.5116
airland5,20,3100.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,3100.0,3100.0,0.0,13.7171,55.5427
airland5,20,3100.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,3100.0,3100.0,0.0,11.7475,24.9579
airland5,20,3100.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,3100.0,3100.0,0.0,17.8383,38.5434
airland5,20,3100.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,3100.0,3100.0,0.0,16.0324,59.9729
airland5,20,3100.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,3100.0,3100.0,0.0,14.1846,59.9419
airland5,20,3100.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,3100.0,3100.0,0.0,7.6173,54.5228
airland5,20,3100.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,3100.0,3100.0,0.0,7.6751,43.1427
airland6,30,24442.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,24442.0,24442.0,0.0,0.0,0.1263
airland6,30,24442.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,24442.0,24442.0,0.0,0.0,0.1192
airland6,30,24442.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,24442.0,24442.0,0.0,0.0,0.119
airland6,30,24442.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,24442.0,24442.0,0.0,0.0,0.1091
airland6,30,24442.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,24442.0,24442.0,0.0,0.0,0.0704
airland6,30,24442.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,24442.0,24442.0,0.0,0.0,0.1207
airland6,30,24442.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,24442.0,24442.0,0.0,0.0,0.1247
airland6,30,24442.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,24442.0,24442.0,0.0,0.0,0.1092
airland6,30,24442.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,24442.0,24442.0,0.0,0.0,0.349
airland6,30,24442.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,24442.0,24442.0,0.0,0.0,0.3521
airland6,30,24442.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,24442.0,24442.0,0.0,0.0,0.2053
airland6,30,24442.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,24442.0,24442.0,0.0,0.0,0.3049
airland6,30,24442.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,24442.0,24442.0,0.0,0.0,0.372
airland6,30,24442.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,24442.0,24442.0,0.0,0.0,0.2096
